name,role,presence,show,num_shows
 Madhur Jaffrey,Old Arani,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Mae Caupit,Series Visual Effects by,"            visual effects artist (4 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Maegan Robinson,Series Costume and Wardrobe Department,"['            set costumer / key set costumer (15 episodes, 2019)          '
 '            set costumer (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Maegan Stayrook,Series Additional Crew,"            payroll clerk (9 episodes, 2021)          ",WandaVision                  (2021),35
 Magdalena Górka,Series Cinematography by,"            (6 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Magdi Omar,Series Visual Effects by,"            visual effects scanning producer: Spin VFX (19 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Maggie McCormick,Series Additional Crew,"            travel coordinator (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Maggie Phillips,Series Music Department,"['            music supervisor (27 episodes, 2017-2019)          '
 '            music supervisor (8 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Magnus Hilding-Nørkjær,Series Visual Effects by,"            digital compositor: Ghost VFX (1 episode, 2017)          ",Legion                  (2017–2019),35
 Mahendra Maharjan,Series Visual Effects by,"            visual effects artist (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Mahsa Ghorbankarimi,Series Visual Effects by,"            cg supervisor (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mahshid Sadoughi,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Mahvash Tehrani,Series Visual Effects by,"            compositor (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mai-Anh Tran,Series Visual Effects by,"            matte painter: Rodeo FX (5 episodes, 2021)          ",WandaVision                  (2021),35
 Maira Nunes Woppe,['Series Visual Effects by' 'Series Animation Department'],"['            Animator: Monsters Aliens Robots Zombies (7 episodes, 2021)          '
 '            Animator: Monsters Aliens Robots Zombies (1 episode, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Makabe Ganey,Boy,"2 episodes, 2018                        ",Legion                  (2017–2019),35
 Makela Barnes,Series Art Department,"            graphic designer (12 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Makena Costlow,Series Visual Effects by,"            Visualization Editor: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Makenzie Pozzeboin,Series Additional Crew,"            studio manager (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Malachi Roberts,Series Camera and Electrical Department,"            lighting technician / electrician (4 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Malcolm McCulloch,Series Location Management,"            location manager (11 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Malcolm Nefsky,Series Camera and Electrical Department,"            key grip (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Malia Miyashiro,Series Costume and Wardrobe Department,            key costumer: Supersuits Los Angeles (1 episode)          ,Doom Patrol                  (2019– ),37
 Mami Spéede,Series Stunts,"            stunt performer (1 episode, 2019)          ",Legion                  (2017–2019),35
 Mami Spéede I.,Series Stunts,"            stunt performer (1 episode, 2019)          ",Legion                  (2017–2019),35
 Mandy Friedrich,Series Additional Crew,"            Studio Teacher: additional photography (9 episodes, 2021)          ",WandaVision                  (2021),35
 Mandy Kowalski,Series Stunts,"            stunts / stunt double: jena allen/pearl amanda dickson (1 episode, 2018-2019)          ",Legion                  (2017–2019),35
 Mandy Rushton,Patient Dancer #5,"1 episode, 2017                        ",Legion                  (2017–2019),35
 Manesh Nepali,Series Visual Effects by,"            digital compositor (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Manish Rohith,Series Visual Effects by,"['            compositor (4 episodes, 2021)          '
 '            compositor (3 episodes, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Manish Shrestha,Series Visual Effects by,"            digital effects artist (3 episodes, 2017)          ",Legion                  (2017–2019),35
 Manny Duran,Series Camera and Electrical Department,"            key grip (19 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Manuel Gaudreau,Series Visual Effects by,"            Environment Artist: Rodeo FX (1 episode, 2021)          ",WandaVision                  (2021),35
 Manzi DeYoung,Series Costume and Wardrobe Department,"            specialty costumer (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Marc Casey,Series Camera and Electrical Department,"            underwater camera technician (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Marc Daunais,Series Camera and Electrical Department,"            Best Boy LX (1 episode, 2017)          ",Legion                  (2017–2019),35
 Marc Farley,Salty #1,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Marc Lulkin,Series Editorial Department,            colorist: dailies (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Marc Oka,Admiral Fukyama,"7 episodes, 2018                        ",Legion                  (2017–2019),35
 Marc Pattavina,Series Film Editing by,"            (4 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Marc R. Taylor,Series Camera and Electrical Department,"            electrician (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Marc Scizak,['Series Second Unit Director or Assistant Director' 'Series Stunts'],"['            second unit director (9 episodes, 2021)          '
 '            stunt coordinator (8 episodes, 2021)          ']",WandaVision                  (2021),35
 Marcelino Newquist,Series Visual Effects by,"            Visualization Artist (9 episodes, 2021)          ",WandaVision                  (2021),35
 Marcella Elisa Caudill,Series Costume and Wardrobe Department,"            key costumer (9 episodes, 2021)          ",WandaVision                  (2021),35
 Marcello Dubaz,Series Sound Department,"            sound editor (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Marcin Kummer,Series Visual Effects by,"            digital compositor (1 episode, 2017)          ",Legion                  (2017–2019),35
 Marco Checa Garcia,Series Visual Effects by,"            senior vfx artist: Folks (1 episode, 2017)          ",Legion                  (2017–2019),35
 Marco Hermida,Series Visual Effects by,"            compositor: Encore VFX (1 episode, 2020)          ",Doom Patrol                  (2019– ),37
 Marco Menco,Series Visual Effects by,"            senior facial modeller: Digital Domain - visual effects (1 episode, 2021)          ",WandaVision                  (2021),35
 Marco Naylor,Series Camera and Electrical Department,"            Second Unit: Steadicam (7 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Marco Niro,Series Production Design by,"            (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Marco Schittone,12-Year-Old Elliot Patterson,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Marco Sousa,Series Transportation Department,"            picture car coordinator (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Marco Vera,Series Animation Department,"            editor: TITMOUSE INC. (1 episode, 2021)          ",WandaVision                  (2021),35
 Marcos Grainger,Series Editorial Department,"            assistant editor (1 episode, 2018)          ",Legion                  (2017–2019),35
 Marcus Aurelio,Series Stunts,"            stunt performer (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Marcus Dalzine,['Series Writing Credits' 'Series Produced by'],"['            (written by) (2 episodes, 2019)          '
 '            producer (15 episodes, 2019)          ']",Doom Patrol                  (2019– ),37
 Marcy Brooks,Series Additional Crew,"            studio teacher (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Maree Martinez,Series Additional Crew,"            studio teacher (5 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Mareike Loges,Series Visual Effects by,"            cg artist: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Margaret Burke,Series Additional Crew,"['            director production safety (1 episode)          '
 '            director production safety (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Margaret Flock,Series Costume and Wardrobe Department,"            costumer (6 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Margaux Brooke,Eloise,"5 episodes, 2019                        ",Legion                  (2017–2019),35
 Margie O'Malley,Series Sound Department,"            foley artist (2 episodes, 2021)          ",WandaVision                  (2021),35
 Maria Astorga,Series Additional Crew,"            production assistant (3 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Maria Serrano,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Maria Soledad Galindo,Series Visual Effects by,"            digital matte painter (4 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mariam Yacoub,Series Additional Crew,"            assistant production coordinator (6 episodes, 2021)          ",WandaVision                  (2021),35
 Marian Dobrunz,Series Visual Effects by,"            head of hr: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Marian Sing,Series Stunts,"            stunts (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Mariana Klaveno,Valentina,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Marianna Phung,Zara,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Mariano Lacerna,Series Visual Effects by,"            digital compositor (5 episodes, 2021)          ",WandaVision                  (2021),35
 Marie Marolle,Series Stunts,"            stunt double (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Marie Richards,Tribal Female,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Mariel Folmer,Series Visual Effects by,"            compositor (4 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Mariella Perreira,Series Visual Effects by,"            visual effects department coordinator: Pixomondo (3 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Marielle Gordon,Series Visual Effects by,"            VFX coordinator: MARZ Vfx (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Marijke Richman,Series Second Unit Director or Assistant Director,            second unit assistant director (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Marikah Cunningham,Vermillion #2,"2 episodes, 2019                        ",Legion                  (2017–2019),35
 Marin Ireland,Sissy,"10 episodes, 2020                        ",The Umbrella Academy                  (2019– ),46
 Marina Marit,Series Costume and Wardrobe Department,"            additional costumer (2 episodes, 2021)          ",WandaVision                  (2021),35
 Marine Rousselet,Series Visual Effects by,"            digital compositor: Rodeo FX (4 episodes, 2021)          ",WandaVision                  (2021),35
 Mario Colli,Series Camera and Electrical Department,"            lighting technician (5 episodes, 2021)          ",WandaVision                  (2021),35
 Mario J. Pillet,Series Visual Effects by,"            senior character fx artist (8 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Marion Milner,Series Script and Continuity Department,"            script supervisor (7 episodes, 2017)          ",Legion                  (2017–2019),35
 Marion Spates,Series Visual Effects by,"            visual effects supervisor: additional photography (1 episode, 2021)          ",WandaVision                  (2021),35
 Marion de Vries,Series Location Management,"            location scout (19 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Marissa Lafayette,Series Makeup Department,"            makeup artist (3 episodes, 2021)          ",WandaVision                  (2021),35
 Marium Carvell,Vernetta,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Marjan Ghadrdan,Series Additional Crew,"            snake wrangler (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Mark Aaron Wagner,Series Stunts,"            stunt performer: Townspeople (1 episode, 2021)          ",WandaVision                  (2021),35
 Mark Abad,Series Art Department,"            construction medic (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Mark Allen,Series Sound Department,"            sound effects editor (1 episode, 2019)          ",Legion                  (2017–2019),35
 Mark Ashworth,Ringmaster,"2 episodes, 2020                        ",Doom Patrol                  (2019– ),37
 Mark Berdock,Series Camera and Electrical Department,"            dolly grip (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Mark Cookson,Series Sound Department,"            sound effects editor (1 episode, 2017)          ",Legion                  (2017–2019),35
 Mark Cyre,Series Camera and Electrical Department,"            first assistant camera (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mark D. Ferguson,Series Visual Effects by,"            visual effects coordinator (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mark DeSimone,Series Sound Department,            adr mixer: New York (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Mark Dennison,['Series Visual Effects by' 'Series Editorial Department'],"['            visual effects artist (24 episodes, 2019-2020)          '
 '            on-line editor (9 episodes, 2019-2020)          ']",Doom Patrol                  (2019– ),37
 Mark Derksen,Series Visual Effects by,"            digital compositor (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mark Edward Allen,Series Visual Effects by,"            senior fur groomer: Weta Digital (12 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Mark Fletcher,Series Visual Effects by,            screen graphics designer - uncredited (uncredited) (unknown episodes)          ,WandaVision                  (2021),35
 Mark Gaffney,Series Location Management,"            key assistant location manager (3 episodes, 2018)          ",Legion                  (2017–2019),35
 Mark Gilmer,Series Camera and Electrical Department,"            digital imaging technician (10 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Mark Goffman,['Series Writing Credits' 'Series Produced by'],"['            (teleplay by) (2 episodes, 2020)          '
 '            consulting producer / executive producer (3 episodes, 2019-2020)          ']",The Umbrella Academy                  (2019– ),46
 Mark Haber,Series Art Department,"            set designer (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Mark Hensley,Series Sound Department,"            re-recording mixer (1 episode, 2017)          ",Legion                  (2017–2019),35
 Mark Hill,Series Camera and Electrical Department,"            still photographer (12 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Mark James Ross,Series Makeup Department,            key makeup effects artist (1 episode)          ,Doom Patrol                  (2019– ),37
 Mark Klimko,Series Art Department,"            cnc milling foreman (6 episodes, 2021)          ",WandaVision                  (2021),35
 Mark L. Holmes,Series Visual Effects by,"            camera technical director (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mark Lambert Bristol,Series Art Department,            storyboard artist (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Mark McDaniel,Series Visual Effects by,"            tracking/matchmove (3 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Mark McNicholl,Series Visual Effects by,"            lead lighting td (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mark Meloccaro,Series Additional Crew,"            Clearance Supervisor (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Mark Neysmith,Series Visual Effects by,"            cg supervisor: Spin VFX / cg supervisor (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mark R. Byers,Series Special Effects by,"            special effects supervisor (19 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Mark Sheppard,Willoughby Kipling,"6 episodes, 2019-2020                        ",Doom Patrol                  (2019– ),37
 Mark Simon,Series Art Department,"            storyboard artist (3 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Mark Steel,['Series Production Design by' 'Series Art Direction by'],"['            (19 episodes, 2019-2020)          '
 '            (1 episode, 2019)          ']",The Umbrella Academy                  (2019– ),46
 Mark Sunderland,Series Camera and Electrical Department,"            Additional Lighting Technician (6 episodes, 2021)          ",WandaVision                  (2021),35
 Mark Tachovsky,Series Additional Crew,            travel and accommodation coordinator (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Mark Taylor,Drill Sergeant,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Mark Turner,Band Member #3,"1 episode, 2019                        ",Legion                  (2017–2019),35
 Mark Weinhandl,Series Stunts,            precision driver (uncredited) (unknown episodes)          ,WandaVision                  (2021),35
 Mark Worthington,Series Production Design by,"['            (9 episodes, 2021)          '
 '            (1 episode, 2019)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Markus Dahlstrøm,Series Visual Effects by,"            digital compositor: ILM (1 episode, 2021)          ",WandaVision                  (2021),35
 Markus Reithoffer,Series Visual Effects by,"            senior compositor: Weta Digital (3 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Marla Walkuski,Series Art Department,            art assistant (uncredited) / Art Assistant (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Marlie Arnold,Series Art Department,            assistant art director (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Marlon Engel,Series Visual Effects by,"            digital compositor: FuseFX (1 episode, 2017)          ",Legion                  (2017–2019),35
 Marlon Hero,Series Second Unit Director or Assistant Director,            trainee assistant director (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Marlon Rivas,Series Visual Effects by,"            compositor (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Marlon Sanchez,Series Editorial Department,            on-line editor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Marta Errera,Series Visual Effects by,"            Layout Artist: Industrial Light & Magic (9 episodes, 2021)          ",WandaVision                  (2021),35
 Marta Molla Linana,Series Visual Effects by,"            Paint & Roto Artist: Industrial Light & Magic (1 episode, 2021)          ",WandaVision                  (2021),35
 Martin Burt,Salesman,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Martin Fourat,Series Visual Effects by,"            visual effects editor: Folks (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Martin Höhnle,Series Visual Effects by,"            digital matte painter: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Martin Krol,Series Visual Effects by,"['            Asset Supervisor: MARZ (6 episodes, 2021)          '
 '            Asset Supervisor: MARZ / senior asset artist: MARZ VFX (3 episodes, 2019-2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Martin Vaccaro,['Series Art Department' 'Series Editorial Department'],"['            graphic artist (uncredited) (unknown episodes)          '
 '            assistant on-line editor (uncredited) (unknown episodes)          ']",Legion                  (2017–2019),35
 Martin Wiseman,Series Visual Effects by,"            bidding producer: Weta Digital (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Martina Lauria,Series Visual Effects by,"            digital compositor (1 episode, 2021)          ",WandaVision                  (2021),35
 Marton Barka,Series Music Department,"            music contractor (9 episodes, 2021)          ",WandaVision                  (2021),35
 Marva Stokes,Series Makeup Department,"            key hair stylist (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Marvin Yanez,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Mary Ann Raemisch,Manson Girl #2,"2 episodes, 2019                        ",Legion                  (2017–2019),35
 Mary Arthurs,Series Art Department,"            property master (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Mary J. Blige,Cha-Cha,"10 episodes, 2019                        ",The Umbrella Academy                  (2019– ),46
 Mary Kane,['Series Produced by' 'Series Production Management'],"['            line producer (3 episodes, 2021)          '
 '            unit production manager (3 episodes, 2021)          ']",WandaVision                  (2021),35
 Mary Livanos,Series Produced by,"            co-executive producer / supervising producer (8 episodes, 2021)          ",WandaVision                  (2021),35
 MaryEllen Hendrick,Series Art Department,"            set decoration coordinator (9 episodes, 2021)          ",WandaVision                  (2021),35
 Mason A. Taylor,Series Visual Effects by,"            visual effects artist: for exceptional minds [us] (3 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Massey Ahmar,Follower #1,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Mat Beck,Series Visual Effects by,"            senior visual effects supervisor: Entity FX (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Matea Prljevic,Series Music Department,"            score editor (1 episode, 2017-2019)          ",Legion                  (2017–2019),35
 Mathew Crisp,Series Visual Effects by,"            digital compositor / compositor (4 episodes, 2021)          ",WandaVision                  (2021),35
 Mathias Herbster,Series Visual Effects by,"            cg artist: RISE Visual Effects Studios (4 episodes, 2021)          ",WandaVision                  (2021),35
 Mathias Ty Parto,Trick or Treater #1,"1 episode, 2017                        ",Legion                  (2017–2019),35
 Mathieu Bacchous,Series Visual Effects by,"            compositor: Spin VFX (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Mathieu Prezelin,Series Visual Effects by,"['            matchmove artist: Folks (1 episode, 2017)          '
 '            lead matchmove: Folks (8 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Mathieu Vezina,Series Visual Effects by,"            digital artist: Rodeo FX (4 episodes, 2021)          ",WandaVision                  (2021),35
 Mathilde Vézina-Bouchard,Series Visual Effects by,"            digital compositor (4 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Matt Afonso,Monitor Room Technician,"1 episode, 2017                        ",Legion                  (2017–2019),35
 Matt Baker,Series Stunts,"            stunt performer: Soldier (1 episode, 2021)          ",WandaVision                  (2021),35
 Matt Belbin,Series Visual Effects by,            digital effects supervisor: Folks (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Matt Biedel,Sgt. Dale Chedder,"2 episodes, 2019                        ",The Umbrella Academy                  (2019– ),46
 Matt Bomer,Larry Trainor,"25 episodes, 2019-2020                        ",Doom Patrol                  (2019– ),37
 Matt Cordero,Series Visual Effects by,"            compositor (4 episodes, 2021)          ",WandaVision                  (2021),35
 Matt Decker,Series Music Department,"            music editor (27 episodes, 2017-2019)          ",Legion                  (2017–2019),35
 Matt Delmanowski,Series Additional Crew,"            Photography Manager (9 episodes, 2021)          ",WandaVision                  (2021),35
 Matt Derber,Series Sound Department,"            boom operator (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Matt Dunbar,Series Art Department,"            set dresser (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Matt Dunkley,Series Music Department,"            Conductor: theme (9 episodes, 2021)          ",WandaVision                  (2021),35
 Matt Eakin,Series Camera and Electrical Department,"            rigging electrician / best boy rigging electrician (9 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Matt Eaton,Series Visual Effects by,"            Compositor: Cantina Creative (3 episodes, 2021)          ",WandaVision                  (2021),35
 Matt Egan,Series Camera and Electrical Department,            cinematographer: second unit (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Matt Emery,Series Art Department,"            prop maker (4 episodes, 2019)          ",Legion                  (2017–2019),35
 Matt Evans,Series Camera and Electrical Department,"            ""C"" Cam Second Assistant Camera (6 episodes, 2021)          ",WandaVision                  (2021),35
 Matt Fowler,Mental Patient,unknown episodes                        ,Legion                  (2017–2019),35
 Matt Hamilton,Ben,"1 episode, 2017                        ",Legion                  (2017–2019),35
 Matt Hansen,Series Visual Effects by,"            visual effects supervisor (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Matt Horochowski,Series Camera and Electrical Department,            a camera: dolly grip (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Matt Hovland,Series Sound Department,"['            adr mixer (5 episodes, 2019)          '
 '            adr mixer (6 episodes, 2017-2019)          ']","['Doom Patrol                  (2019– )'
 'Legion                  (2017–2019)']",2
 Matt Hughes,Series Additional Crew,"            production accountant: Pixomondo (6 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Matt Leatherman,Series Sound Department,"            original dialogue recordist / adr mixer: Atlanta (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Matt Markopoulos,Police Officer,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Matt Mehring,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Matt Mueller,Series Visual Effects by,"            senior head of optical department: Weta Digital (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Matt Philliben,['Palace Servant' 'Series Stunts'],"['1 episode, 2020                        '
 '            stunts (1 episode, 2020)          ']",Doom Patrol                  (2019– ),37
 Matt Ralph,Series Visual Effects by,"            layout lead: Pixomondo (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Matt Ramirez,Series Stunts,            stunts (uncredited) / stunt performer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Matt Resta,Series Visual Effects by,"            digital compositor: FuseFX (1 episode, 2018)          ",Legion                  (2017–2019),35
 Matt Shakman,['Series Directed by' 'Series Produced by'],"['            (9 episodes, 2021)          '
 '            executive producer / executive producer (9 episodes, 2021)          ']",WandaVision                  (2021),35
 Matt Sigloch,Series Additional Crew,"            tactical advisor (1 episode, 2017-2018)          ",Legion                  (2017–2019),35
 Matt Temple,Series Sound Department,"            sound effects editor (26 episodes, 2017-2019)          ",Legion                  (2017–2019),35
 Matt Wallace,Series Sound Department,"            Foley Recordist (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Matt Watson,Series Editorial Department,"            supervising digital colorist (6 episodes, 2021)          ",WandaVision                  (2021),35
 Matt Wells,Series Editorial Department,            dailies workflow producer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Matt Wilkie,Series Additional Crew,"            Marvel Studios Security, Content Protection, and Facilities (9 episodes, 2021)          ",WandaVision                  (2021),35
 Matt Wolpert,['Series Writing Credits' 'Series Produced by'],"['            (teleplay by) (2 episodes, 2019)          '
 '            co-executive producer (8 episodes, 2019)          ']",The Umbrella Academy                  (2019– ),46
 Matthew Almeida,Series Visual Effects by,"            matchmove artist: Pixomondo (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Matthew Bramante,Series Visual Effects by,            compositing supervisor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Matthew Bujok,Series Camera and Electrical Department,"            movi operator/tech (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Matthew Byrge,Armed Agent,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Matthew Carter,Trooper,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Matthew Czarnowsky,Series Art Department,            props (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Matthew D'Ambrosio,Series Script and Continuity Department,"            script coordinator (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Matthew Dravitzki,Series Visual Effects by,"            visual effects producer: Weta Digital (15 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Matthew Edison,Doctor Moncton,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Matthew Ellena,Series Editorial Department,"            first assistant editor (3 episodes, 2021)          ",WandaVision                  (2021),35
 Matthew Kallen,Series Sound Department,"            adr mixer (8 episodes, 2017-2019)          ",Legion                  (2017–2019),35
 Matthew Koehler,Series Visual Effects by,"            Bidding Producer: The Third Floor inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Matthew Matsubara,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Matthew Myslinski,Series Additional Crew,"            production assistant (9 episodes, 2021)          ",WandaVision                  (2021),35
 Matthew Pascuzzi,Series Visual Effects by,"            compositor (1 episode, 2021)          ",WandaVision                  (2021),35
 Matthew R. Anderson,Series Stunts,"            stunts (1 episode, 2019)          ",Legion                  (2017–2019),35
 Matthew R. Cunningham,Series Art Department,            concept illustrator (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Matthew Raponi,Series Special Effects by,"            special effects technician (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Matthew Sean Blumm,Cliff's Dad,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Matthew Shively,Series Camera and Electrical Department,"            video playback (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Matthew Sigmon,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Matthew Slatoff,Series Additional Crew,"            security executive (9 episodes, 2021)          ",WandaVision                  (2021),35
 Matthew Wolf,Series Additional Crew,            voice cast (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Matthew Wood,Series Sound Department,"            Supervising Sound Editor / ADR Supervisor (6 episodes, 2021)          ",WandaVision                  (2021),35
 Matthew Zuk,Negative Man,"24 episodes, 2019-2020                        ",Doom Patrol                  (2019– ),37
